16	58	28	809	833.442	1011	0.708463	-8	-4	-2	1	3	3	-7	2	-7	0.23963	0.08502	0.01526	0.07396	0.08511	1.47374	0.16515	0.27614	0.1626	0.9545	0.08832	-0.02034	-1.28687	0.23452	-0.74672	0.05712	-0.0666	0.70508	-0.43285	-0.06012	-0.11728	2.03611	0.55335	0.61356	0.87879	-0.20539	0.35354	0.79866	
16	58	28	811	834.744	978	0.837118	5	-3	0	-10	-5	-4	-9	8	2	0.24025	0.09312	0.01628	0.06484	0.04965	-0.11145	0.80648	0.2264	0.12398	0.95248	0.06599	0.04453	0.25506	-0.81117	-0.7492	0.0918	-0.25732	-0.26717	-0.06659	0.21715	-0.09586	0.18063	0.67618	-0.45424	1.2651	0.04377	-0.10438	-0.1443	
16	58	28	813	836.046	1063	0.779716	-1	-9	2	9	3	5	-6	-8	-7	0.21362	0.07794	-0.00712	0.03647	-0.06282	-1.5101	0.32725	0.16244	0.09248	0.95248	0.13299	0.10931	1.62424	-0.41421	-0.72505	0.44471	-0.22907	-1.29589	-0.02522	0.18216	-0.0102	-1.43998	0.70099	-0.51525	0.59259	0.41414	-0.6229	-0.28859	
16	58	28	815	837.349	1031	0.811539	-8	2	3	2	-8	8	6	-5	8	0.17214	0.06377	-0.02645	0.00608	-0.12158	-1.36263	-0.22999	0.14822	0.05285	0.95248	0.14721	0.11134	0.86437	0.66193	-0.66932	0.5926	0.05314	-1.75708	0.07603	0.12555	0.11381	-1.70776	0.58685	0.40339	-0.23232	0.40404	-0.30303	0.77517	
16	58	28	817	838.651	1012	0.73021	-8	-2	7	2	2	-6	-10	1	3	0.1356	0.07287	-0.05595	-0.01418	-0.09726	-0.44782	0.08207	0.11574	0.0122	0.95046	0.06701	0.11235	-0.59919	0.56447	-0.59069	0.17442	0.17577	-1.45114	0.3619	0.20377	0.21755	-1.39931	0.34367	0.64746	-0.42088	0.30976	0.22559	1.05051	
16	58	28	819	839.953	911	0.848963	1	8	-4	1	5	-10	7	4	3	0.12012	0.06073	-0.07528	-0.04965	-0.14387	0.2229	0.30294	0.03046	-0.01524	0.94944	-0.01117	0.15283	-1.34545	-0.21624	-0.50028	-0.19199	0.06949	-1.10491	0.56161	0.18216	0.26388	-1.65013	0.01861	-0.07458	-0.40067	0.19865	0.00673	-0.37584	
16	58	28	822	841.255	970	0.874072	-6	0	-4	-10	-2	-8	-9	-9	3	0.13065	0.01113	-0.06714	-0.07092	-0.21277	0.81966	-0.68794	-0.01827	-0.07012	0.94742	-0.08528	0.19231	-0.81073	-0.17259	-0.40307	-0.17408	0.04496	-1.15472	0.63967	0.21817	0.22863	-1.8874	-0.32134	-0.56949	-0.19865	0	-0.50168	-0.97987	
16	58	28	824	842.558	1099	0.709828	0	-5	8	2	-1	-3	4	-10	-8	0.15851	-0.04858	-0.05493	-0.09321	-0.10233	0.75988	-1.37273	-0.09949	-0.09248	0.94641	-0.13503	0.1832	0.4919	0.66294	-0.30338	-0.08356	0.10628	-0.77434	0.8191	0.50221	0.15813	-1.26373	-0.59677	-0.51186	0.59596	0.09091	-0.40404	-0.18121	
16	58	28	826	843.86	943	0.899267	2	8	5	6	7	6	2	-6	0	0.18638	-0.09919	-0.07731	-0.18744	0.03242	-0.80243	-0.29686	-0.2335	-0.03557	0.94641	-0.13909	0.13664	1.65859	0.50355	-0.20617	-0.07958	0.07664	-0.18566	0.95697	0.60718	0.15914	-0.34519	-0.74442	-0.30847	0.87879	0.44781	0.39057	-0.15772	
16	58	28	828	845.162	985	0.857391	4	-5	9	-2	7	-1	2	-7	-10	0.19505	-0.10425	-0.11495	-0.26444	-0.07194	-1.82727	0.20162	-0.2	-0.04167	0.94742	-0.13706	0.09818	1.82525	-0.56244	-0.11824	0.07752	-0.04137	-0.62943	0.81099	0.35608	0.22964	0.35103	-0.73697	0.07119	-0.11111	0.39394	1.23649	-0.57383	
16	58	28	830	846.464	1088	0.73015	-5	-3	4	4	-6	-4	3	-4	5	0.17709	-0.10425	-0.07935	-0.21378	-0.21581	-0.41236	-0.78014	-0.05381	-0.14024	0.94944	-0.1269	0.09008	0.01316	-0.8132	-0.05261	0.38759	-0.15238	-1.88493	0.78159	0.21406	0.25784	1.11103	-0.59181	0.57966	-0.98653	-0.11785	1.36149	0.07047	
16	58	28	832	847.767	970	0.884875	-5	8	3	-2	-8	-9	-4	-4	4	0.14118	-0.15992	-0.04069	-0.15096	-0.10537	1.35152	-0.42148	-0.13909	-0.19004	0.95046	-0.1198	0.13866	-2.38291	-0.73503	-0.02784	0.36923	-0.12008	-2.81187	1.25703	0.24493	0.20748	1.60378	-0.36228	0.85763	-0.63973	-0.22559	0.42424	0.48993	
16	58	28	834	849.069	1053	0.811198	3	6	5	3	0	4	-10	-6	-8	0.10093	-0.19028	-0.09969	-0.1925	0.03242	0.96454	0.78825	-0.41015	-0.1687	0.95046	-0.16041	0.26113	-2.60229	-0.79391	-0.06127	0.03468	0.05518	-2.19087	1.704	0.15231	0.15511	1.67751	-0.12531	0.65763	0.01684	0.26936	-0.75084	-0.43624	
16	58	28	836	850.371	954	0.781573	-5	-10	8	-9	-8	-1	-1	-1	6	0.06625	-0.16498	-0.11089	-0.23404	-0.06687	-0.42553	0.17427	-0.48426	-0.17073	0.94944	-0.24975	0.31579	-0.48887	-0.22538	-0.14425	-0.08953	0.19416	-0.52528	1.56418	0.11217	0.15813	1.68086	0.04094	0.07458	-0.34007	0.32997	-0.78114	-0.92953	
